Test,Source,Parsed At,Question ID,Question,Main Chapter,Subchapter,Secondary Subchapters,Reasoning
EJU,2019 Physics,2026-05-01 07:48:14,I-Q1,Calculate the tangent of the angle for two rods in equilibrium.,"4 Forces, density and pressure",4.2 Equilibrium of forces,4.1 Turning effects of forces,Involves calculating moments around a pivot to find the equilibrium position of a composite body.
EJU,2019 Physics,2026-05-01 07:48:14,I-Q2,Determine the initial speed of a ball thrown at an angle.,2 Kinematics,2.1 Equations of motion,,Requires using kinematic equations to solve for projectile motion in two dimensions.
EJU,2019 Physics,2026-05-01 07:48:14,I-Q3,Find the acceleration of an object pushed up a rough slope.,3 Dynamics,3.1 Momentum and Newton’s laws of motion,3.2 Non-uniform motion,Involves applying Newton's second law ($F=ma$) to an object experiencing friction on an incline.
EJU,2019 Physics,2026-05-01 07:48:14,I-Q4,Find the sliding distance of an object after an inelastic collision.,3 Dynamics,3.3 Linear momentum and its conservation,5.1 Energy conservation,Relates the conservation of momentum during a collision to work done against friction.
EJU,2019 Physics,2026-05-01 07:48:14,I-Q5,Compare the lengths of a spring pendulum and a simple pendulum with the same period.,17 Oscillations,17.1 Simple harmonic oscillations,,Involves the formulas for the period of simple harmonic oscillators ($T=2\pi\sqrt{m/k}$ and $T=2\pi\sqrt{l/g}$).
EJU,2019 Physics,2026-05-01 07:48:14,I-Q6,Determine the period of an artificial satellite in circular orbit.,13 Gravitational fields,13.2 Gravitational force between point masses,12.1 Kinematics of uniform circular motion,Requires equating gravitational force to centripetal force to find the orbital period.
EJU,2019 Physics,2026-05-01 07:48:14,II-Q1,Calculate the quantity of heat transferred to reach thermal equilibrium.,14 Temperature,14.3 Specific heat capacity and specific latent heat,14.1 Thermal equilibrium,Application of the heat exchange principle ($Q = C\Delta t$) for a system reaching a common temperature.
EJU,2019 Physics,2026-05-01 07:48:14,II-Q2,Find the ratio of temperatures for ideal gases in connected cylinders.,15 Ideal gases,15.2 Equation of state,,Application of the ideal gas law ($pV = nRT$) for systems in mechanical equilibrium.
EJU,2019 Physics,2026-05-01 07:48:14,II-Q3,Determine net heat absorbed by an ideal gas in a $p-V$ diagram path.,16 Thermodynamics,16.2 The first law of thermodynamics,16.1 Internal energy,Uses the first law ($\Delta U = q + W$) to calculate energy transfers during state changes.
EJU,2019 Physics,2026-05-01 07:48:14,III-Q1,Identify the wave displacement-distance graph at a later time.,7 Waves,7.1 Progressive waves,,Requires interpreting the motion and phase of a progressive wave over time.
EJU,2019 Physics,2026-05-01 07:48:14,III-Q2,Find the frequency of a standing wave in an open tube with $n$ antinodes.,8 Superposition,8.1 Stationary waves,,Involves the resonance conditions and formation of stationary waves in air columns.
EJU,2019 Physics,2026-05-01 07:48:14,III-Q3,Calculate the refractive index of a glass plate using the critical angle.,7 Waves,7.1 Progressive waves,,Application of Snell's Law and the concept of total internal reflection at a medium boundary.
EJU,2019 Physics,2026-05-01 07:48:14,IV-Q1,Identify points on an axis where the net electric field is zero.,18 Electric fields,18.4 Electric field of a point charge,18.1 Electric fields and field lines,Requires calculating the vector sum of electric fields from two point charges.
EJU,2019 Physics,2026-05-01 07:48:14,IV-Q2,Identify the correct representation of electric lines of force.,18 Electric fields,18.1 Electric fields and field lines,,Focuses on the visual and conceptual properties of electric field lines for charged conductors.
EJU,2019 Physics,2026-05-01 07:48:14,IV-Q3,Calculate power consumed by a resistor in a D.C. circuit.,9 Electricity,9.2 Potential difference and power,10.2 Kirchhoff’s laws,Involves using $P=I^2R$ and circuit analysis to find energy dissipation rates.
EJU,2019 Physics,2026-05-01 07:48:14,IV-Q4,Calculate Joule heat evolved during the charging of capacitors.,19 Capacitance,19.2 Energy stored in a capacitor,19.1 Capacitors and capacitance,Relates the energy change in a capacitor ($1/2 CV^2$) to the work done by the battery and heat lost.
EJU,2019 Physics,2026-05-01 07:48:14,IV-Q5,Find magnitude and direction of a magnetic field from parallel wires.,20 Magnetic fields,20.4 Magnetic fields due to currents,,Involves the vector addition of magnetic fields produced by long straight current-carrying wires.
EJU,2019 Physics,2026-05-01 07:48:14,IV-Q6,Identify the graph relating orbital radius $r$ to magnetic flux density $B$.,20 Magnetic fields,20.3 Force on a moving charge,12.2 Centripetal acceleration,Requires relating the magnetic Lorentz force ($F=Bqv$) to centripetal force for circular motion.
EJU,2019 Physics,2026-05-01 07:48:14,V-Q1,Determine the electric charge of a down quark (d).,11 Particle physics,11.2 Fundamental particles,,Requires knowledge of the fundamental charge of quarks and their contribution to hadron charge.
